fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 195209	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2158	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.15179164503446	0.896143428283928	0.362662850553198	0.0191780745025781	0.705475380294688	812	2000	12772	60262110.9445277	56
20240507 195805	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2266	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.241554158219145	0.374990244654051	0.361541710399028	0.0100930553876836	0.600788409160099	682	1956	10247	61883707.6461769	57
20240507 200801	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3207	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.226017145270281	0.328281086534075	0.366146208468658	0.0102046350144562	0.596286596198682	640	1955	10874	61300638.6806597	58
20240507 201418	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2435	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.230798384918345	0.375224624398424	0.371940479830811	0.0101336193801216	0.599743206818807	662	1958	10885	62092586.2068966	59
20240507 202429	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3251	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.229193169358699	0.348512927782583	0.362392170781679	0.0101480009718825	0.599058007628178	640	1958	10458	61817244.3778111	60
20240507 203053	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2467	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.229070011180061	0.340972343432071	0.354237024090586	0.0100241344252558	0.598675992169463	607	1956	11784	61772257.8710645	61
20240507 203715	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2467	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.229070011180061	0.340972343432071	0.354237024090586	0.0100241344252558	0.598675992169463	607	1956	11784	61772257.8710645	62
20240507 204342	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2467	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.229070011180061	0.340972343432071	0.354237024090586	0.0100241344252558	0.598675992169463	607	1956	11784	61772257.8710645	63
20240507 204959	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2242	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.22143896101642	0.356972452636277	0.333159025894953	0.0100005036062902	0.585654606703547	447	1997	10642	61665904.047976	64
20240507 205859	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3780	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.233491547095402	0.333457974471213	0.350872090178993	0.0103463326830008	0.595447401278432	645	1958	10845	60765029.9850075	65
20240507 210534	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2276	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.211468949129536	0.455658866228139	0.366652184013223	0.0100920188985639	0.577802794227551	347	1997	11015	61478598.2008995	66
20240507 211526	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3056	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.222909396346077	0.493501103388956	0.334391434614051	0.0102522046092324	0.524164984939207	540	1994	11091	61276505.2473763	67
20240507 212359	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3571	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.231583322513094	0.367205933317982	0.37897897739465	0.0100211903572253	0.599190398641199	584	1957	12555	60873350.8245877	68
