fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 104514	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.417605450973039	40	5063	13674	56849124.4377811	144
20240512 104702	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.417605450973039	40	5063	13674	56849124.4377811	145
20240512 104846	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.417605450973039	40	5063	13674	56849124.4377811	146
20240512 105032	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.417605450973039	40	5063	13674	56849124.4377811	147
20240512 105216	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.417605450973039	40	5063	13674	56849124.4377811	148
20240512 105406	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.479489165065546	46	5089	11677	52940214.3928036	149
20240512 105551	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.417605450973039	40	5063	13674	56849124.4377811	150
20240512 105736	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.419050485956676	44	5098	11864	54521883.0584708	151
20240512 105920	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.407331994016935	40	4892	13389	55883254.8725637	152
20240512 110102	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.405368395413648	40	4893	13045	56191476.7616192	153
20240512 110244	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400488441689836	40	4893	11783	56180475.2623688	154
20240512 110428	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.40001166970683	40	4893	11338	57340842.5787106	155
20240512 110625	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.4794875345781	42	5084	13363	58101824.5877061	156
20240512 110812	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.400010907758204	40	4896	10453	57331794.6026987	157
